ID,Name,X,Y,Z,H,N
0,Wedge_A,3,0,-5,1,54
1,Tri_Pyramid,10.5,0,-5,1,54
2,Tri_Pyramid_Cut,18,0,-5,0.5,54
3,Cube,25.5,0,-5,1,54
4,Wedge_B,33,0,-5,1,54
5,Quad_Pyramid,40.5,0,-5,1,54
6,Quad_Pyramid_Cut,48,0,-5,0.5,54
7,Hexagon,55.5,0,-5,1,54
8,Hex_Pyramid,3,7.5,-5,1,54
9,Hex_Pyramid_cut,10.5,7.5,-5,0.5,54
10,Sphere,18,7.5,-5,1,54
11,Cylinder,25.5,7.5,-5,1,54
12,Cone,33,7.5,-5,1,54
13,Cone_Cut,40.5,7.5,-5,0.5,54
14,Ring,48,7.5,-5,1,54
15,Torus,55.5,7.5,-5,1,54
16,propeller0,3,15,-5,0.75,54
17,propeller1,10.5,15,-5,0.88,54
18,propeller2,18,15,-5,1,54
19,propeller3,25.5,15,-5,1,54
20,propeller4,33,15,-5,0.72,54
21,propeller5,40.5,15,-5,0.95,54
22,propeller6,48,15,-5,1.08,54
23,propeller7,55.5,15,-5,1.26,54
24,anchor0,3,22.5,-5,1.3,54
25,anchor1,10.5,22.5,-5,1.15,54
26,anchor2,18,22.5,-5,2.15,54
27,anchor3,25.5,22.5,-5,0.85,54
28,anchor4,33,22.5,-5,1.13,54
29,anchor5,40.5,22.5,-5,1.74,54
30,anchor6,48,22.5,-5,0.95,54
31,anchor7,55.5,22.5,-5,2.23,54
32,Deck_Block,3,30,-5,1.01,54
33,Tripode,10.5,30,-5,1.59,54
34,Waste_block,18,30,-5,1.88,54
35,Quad_Truss,25.5,30,-5,1.524,54
36,Oil_Barrel,33,30,-5,0.87,54
37,Chain,40.5,30,-5,1.15,54
38,Tri_Truss,48,30,-5,2,54
39,Curved_Truss,55.5,30,-5,2.29,54
